trial,best_auc
1,0.5165498890666311
2,0.5207098066296048
3,0.5398008078618395
4,0.561380053530155
5,0.5553586496525824
6,0.5785806078538281
7,0.5
8,0.5688095836415631
9,0.5965528316848815
10,0.5027184924165976
11,0.5685607577305254
12,0.5862822751681975
13,0.5284687888884092
14,0.5466997638333028
15,0.5426802483349906
16,0.5839018451392171
17,0.5741751705196876
18,0.5294888914399571
19,0.5030775364834806
20,0.5402806840810683
21,0.5717704880612222
22,0.5321101508082842
23,0.5518348452376216
24,0.5683078246396026
25,0.58649964317248
26,0.5690594240419518
27,0.565553196775333
28,0.5544730573459205
29,0.5432814038498547
30,0.5594138937626333
